Timestamp,SnapshotIndex,ModbusValid,DAQValid,DAQRunning,ECUValid,Modbus_0,Modbus_1,Modbus_2,DAQ_0,DAQ_1,DAQ_2,DAQ_3,DAQ_4,ECU_Throttle,ECU_EngineSpeed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_AxleTemp,ECU_FuelPressure,ECU_IntakeTemp,ECU_AtmPressure,ECU_FlightTime
0.000,1,0,0,0,0,,,,,,,,,,,,,,,,,
0.100,2,0,0,0,1,,,,,,,,,81.80,8187.00,158.00,1460.00,114.00,654.00,74.00,98.00,0.00
0.200,3,0,0,0,1,,,,,,,,,77.80,7786.00,148.00,1390.00,106.00,622.00,68.00,93.00,0.00
0.300,4,0,1,1,1,,,,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,73.50,7358.00,138.00,1310.00,98.00,588.00,62.00,88.00,0.00
0.500,5,0,1,1,1,,,,-0.018592,-0.023525,-0.028458,0.001141,-0.013659,64.30,6435.00,118.00,1140.00,82.00,514.00,50.00,77.00,0.00
0.600,6,0,1,1,1,,,,-0.013659,-0.023525,-0.023525,0.001141,-0.018592,59.50,5949.00,106.00,1055.00,72.00,474.00,42.00,71.00,0.00
0.700,7,0,1,1,1,,,,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,54.50,5455.00,94.00,965.00,62.00,436.00,36.00,65.00,0.00
0.800,8,0,1,1,1,,,,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,49.50,4955.00,82.00,870.00,54.00,396.00,28.00,59.00,0.00
0.900,9,0,1,1,1,,,,-0.018592,-0.018592,-0.028458,-0.003792,-0.013659,44.50,4456.00,72.00,780.00,44.00,356.00,22.00,53.00,0.00
1.000,10,0,1,1,1,,,,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,39.60,3963.00,60.00,690.00,34.00,316.00,14.00,47.00,0.00
1.100,11,0,1,1,1,,,,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,34.70,3480.00,50.00,605.00,26.00,278.00,8.00,41.00,0.00
1.200,12,0,1,1,1,,,,-0.018592,-0.028458,-0.028458,0.001141,-0.018592,34.70,3480.00,50.00,605.00,26.00,278.00,8.00,41.00,0.00
1.300,13,0,1,1,1,,,,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,30.10,3012.00,38.00,515.00,16.00,240.00,2.00,36.00,0.00
1.400,14,0,1,1,1,,,,-0.018592,-0.028458,-0.028458,-0.003792,-0.018592,25.60,2564.00,28.00,435.00,8.00,204.00,-6.00,30.00,0.00
