Timestamp,SnapshotIndex,ModbusValid,DAQValid,DAQRunning,ECUValid,Modbus_0,Modbus_1,Modbus_2,DAQ_0,DAQ_1,DAQ_2,DAQ_3,DAQ_4,ECU_Throttle,ECU_EngineSpeed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_AxleTemp,ECU_FuelPressure,ECU_IntakeTemp,ECU_AtmPressure,ECU_FlightTime
5.800,52,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,,,,,,,,,
5.900,53,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.018592,-0.028458,0.001141,-0.018592,,,,,,,,,
6.100,54,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.028458,-0.003792,-0.018592,,,,,,,,,
6.200,55,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.023525,-0.003792,-0.018592,,,,,,,,,
6.300,56,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,,,,,,,,,
6.400,57,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,,,,,,,,,
6.500,58,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,,,,,,,,,
6.700,59,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,,,,,,,,,
6.800,60,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.006074,-0.018592,,,,,,,,,
6.900,61,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,,,,,,,,,
7.000,62,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,,,,,,,,,
7.100,63,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,,,,,,,,,
7.200,64,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.033392,0.001141,-0.018592,,,,,,,,,
7.300,65,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.033392,-0.003792,-0.018592,,,,,,,,,
7.400,66,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.033392,-0.003792,-0.018592,,,,,,,,,
