Timestamp,SnapshotIndex,ModbusValid,DAQValid,DAQRunning,ECUValid,Modbus_0,Modbus_1,Modbus_2,DAQ_0,DAQ_1,DAQ_2,DAQ_3,DAQ_4,ECU_Throttle,ECU_EngineSpeed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_AxleTemp,ECU_FuelPressure,ECU_IntakeTemp,ECU_AtmPressure,ECU_FlightTime,Custom_0,Custom_1,Custom_2,Custom_3,Custom_4
0.000,1,0,0,0,0,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,2,0,0,0,0,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,3,0,1,1,0,,,,-0.008726,-0.013659,-0.018592,0.011007,-0.003792,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.400,4,0,1,1,0,,,,-0.003792,-0.008726,-0.013659,0.020874,0.001141,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.500,5,0,1,1,0,,,,-0.008726,-0.013659,-0.013659,0.015940,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.600,6,1,1,1,0,18363.4589,37736.4239,9008.2613,-0.003792,-0.008726,-0.013659,0.006074,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.700,7,1,1,1,0,18363.4589,37721.9074,9008.2613,-0.008726,-0.013659,-0.013659,0.011007,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.800,8,1,1,1,0,18363.4589,37735.0698,9008.2613,-0.008726,-0.013659,-0.013659,0.011007,0.015940,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.900,9,1,1,1,0,18363.4589,37735.7060,9008.2613,-0.008726,-0.013659,-0.018592,0.011007,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.100,10,1,1,1,0,18377.0813,37715.9358,9008.2613,-0.008726,-0.018592,-0.028458,0.011007,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.200,11,1,1,1,0,18381.2451,37713.2594,9008.2613,-0.008726,-0.013659,-0.018592,0.011007,-0.003792,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.300,12,1,1,1,0,18382.9409,37722.2267,9008.2613,-0.003792,-0.013659,-0.013659,0.011007,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.400,13,1,1,1,0,18383.7433,37740.3475,9004.0572,-0.003792,-0.013659,-0.013659,0.030740,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.500,14,1,1,1,0,18384.0868,37748.1069,9000.5392,-0.003792,-0.008726,-0.013659,0.011007,-0.028458,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.600,15,1,1,1,0,18384.2501,37751.7955,8998.8673,-0.008726,-0.013659,-0.013659,0.006074,-0.003792,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.700,16,1,1,1,0,18384.3009,37752.9429,8998.3472,-0.003792,-0.008726,-0.018592,0.011007,-0.003792,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.800,17,1,1,1,0,18384.3222,37753.4254,9002.7688,0.006074,0.001141,0.001141,0.011007,0.001141,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
1.900,18,1,1,1,0,18384.3310,37763.6874,9001.5030,-0.003792,-0.008726,-0.013659,0.015940,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.000,19,1,1,1,0,18384.3350,37782.3051,8999.4854,-0.008726,-0.013659,-0.008726,0.011007,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.100,20,1,1,1,0,18384.3367,37789.9927,8998.6526,-0.013659,-0.013659,-0.018592,0.011007,-0.023525,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.200,21,1,1,1,0,18384.3375,37793.6494,8998.2565,-0.003792,-0.013659,-0.018592,0.011007,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.300,22,1,1,1,0,18384.3379,37795.4561,8998.0608,-0.008726,-0.013659,-0.018592,0.011007,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.400,23,1,1,1,0,18384.3380,37795.9273,9002.1648,-0.008726,-0.013659,-0.018592,-0.003792,-0.013659,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.500,24,1,1,1,0,18384.3380,37796.1578,9005.6843,-0.003792,-0.008726,-0.018592,0.011007,-0.003792,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.600,25,1,1,1,0,18390.1991,37796.2552,9007.1726,-0.003792,-0.008726,-0.013659,0.011007,-0.008726,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.700,26,1,1,1,0,18398.4414,37796.2943,9007.7696,-0.003792,-0.013659,-0.018592,0.020874,-0.003792,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.800,27,1,1,1,0,18402.3622,37796.3129,9008.0535,-0.003792,-0.008726,-0.013659,0.020874,0.015940,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
2.900,28,1,1,1,0,18403.9162,37796.3203,9008.1660,-0.003792,-0.008726,-0.018592,0.011007,-0.003792,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
3.000,29,1,1,1,0,18404.8049,37796.3245,9008.2303,-0.003792,-0.013659,-0.013659,0.015940,-0.003792,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
